MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
Generali Germany,+01:00,POLAR,2016-08-16,7
Generali Germany,+01:00,POLAR,2016-08-17,6
Generali Germany,+01:00,VALIDIC,2016-08-13,4
Generali Germany,+01:00,VALIDIC,2016-08-14,1
Generali Germany,+01:00,VALIDIC,2016-08-15,4
Generali Germany,+01:00,VALIDIC,2016-08-16,7
Generali Germany,+01:00,VALIDIC,2016-08-17,12
Generali Germany,+01:00,VITALITY SELF-REPORTED,2016-08-13,3
Generali Germany,+01:00,VITALITY SELF-REPORTED,2016-08-14,4
Generali Germany,+01:00,VITALITY SELF-REPORTED,2016-08-15,6
Generali Germany,+01:00,VITALITY SELF-REPORTED,2016-08-16,7
Generali Germany,+01:00,VITALITY SELF-REPORTED,2016-08-17,6
Generali Germany,+01:00,IHEALTH,2016-08-14,1
Generali Germany,+01:00,IHEALTH,2016-08-16,1
TVG,-05:00,APPLE,2016-08-13,118
TVG,-05:00,APPLE,2016-08-14,82
TVG,-05:00,APPLE,2016-08-15,210
TVG,-05:00,APPLE,2016-08-16,214
TVG,-05:00,APPLE,2016-08-17,165
TVG,-05:00,GARMIN,2016-08-13,22
TVG,-05:00,GARMIN,2016-08-14,22
TVG,-05:00,GARMIN,2016-08-15,53
TVG,-05:00,GARMIN,2016-08-16,40
TVG,-05:00,GARMIN,2016-08-17,35
TVG,-05:00,POLAR,2016-08-13,2
TVG,-05:00,POLAR,2016-08-14,9
TVG,-05:00,POLAR,2016-08-15,13
TVG,-05:00,POLAR,2016-08-16,12
TVG,-05:00,POLAR,2016-08-17,10
VitalityHealth / Life,UTC,APPLE,2016-08-13,67
VitalityHealth / Life,UTC,APPLE,2016-08-14,73
VitalityHealth / Life,UTC,APPLE,2016-08-15,94
VitalityHealth / Life,UTC,APPLE,2016-08-16,115
VitalityHealth / Life,UTC,APPLE,2016-08-17,103
VitalityHealth / Life,UTC,GARMIN,2016-08-13,42
VitalityHealth / Life,UTC,GARMIN,2016-08-14,58
VitalityHealth / Life,UTC,GARMIN,2016-08-15,92
VitalityHealth / Life,UTC,GARMIN,2016-08-16,133
VitalityHealth / Life,UTC,GARMIN,2016-08-17,100
